===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=2.43)] Iter 82: Novo melhor! F=1007.0000 (f1=1007.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 90: Novo melhor! F=1003.0000 (f1=1003.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Iter 111: Novo melhor! F=1002.0000 (f1=1002.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Fim. Melhor F=1002.0000 (f1=1002.00, f2=2.00, P_cap=0.00)

[GVNS-Pe(eps=4.86)] Solução inicial: F=1104714.5714 (f1=886.00, f2=22.00, P_cap=932400.00)
[GVNS-Pe(eps=4.86)] Iter 0: Novo melhor! F=1125.0000 (f1=1125.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 0: Novo melhor! F=1121.0000 (f1=1121.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 0: Novo melhor! F=1035.0000 (f1=1035.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=4.86)] Iter 1: Novo melhor! F=1025.0000 (f1=1025.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 2: Novo melhor! F=977.0000 (f1=977.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 13: Novo melhor! F=976.0000 (f1=976.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=4.86)] Iter 16: Novo melhor! F=967.0000 (f1=967.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=4.86)] Iter 17: Novo melhor! F=957.0000 (f1=957.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 17: Novo melhor! F=954.0000 (f1=954.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=4.86)] Iter 39: Novo melhor! F=949.0000 (f1=949.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 94: Novo melhor! F=948.0000 (f1=948.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=4.86)] Iter 97: Novo melhor! F=934.0000 (f1=934.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=4.86)] Iter 181: Novo melhor! F=924.0000 (f1=924.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=4.86)] Fim. Melhor F=924.0000 (f1=924.00, f2=4.00, P_cap=0.00)

[GVNS-Pe(eps=7.29)] Solução inicial: F=690471.8571 (f1=929.00, f2=33.00, P_cap=432400.00)
[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=1042.0000 (f1=1042.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=995.0000 (f1=995.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=994.0000 (f1=994.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=982.0000 (f1=982.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.29)] Iter 4: Novo melhor! F=945.0000 (f1=945.00, f2=7.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.29)] Iter 13: Novo melhor! F=942.0000 (f1=942.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 31: Novo melhor! F=938.0000 (f1=938.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 39: Novo melhor! F=924.0000 (f1=924.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.29)] Iter 49: Novo melhor! F=922.0000 (f1=922.00, f2=6.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.29)] Iter 80: Novo melhor! F=919.0000 (f1=919.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.29)] Fim. Melhor F=919.0000 (f1=919.00, f2=3.00, P_cap=0.00)

[GVNS-Pe(eps=9.71)] Solução inicial: F=1227371.1429 (f1=914.00, f2=49.00, P_cap=833600.00)
[GVNS-Pe(eps=9.71)] Iter 0: Novo melhor! F=950.0000 (f1=950.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 2: Novo melhor! F=942.0000 (f1=942.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 2: Novo melhor! F=934.0000 (f1=934.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.71)] Iter 8: Novo melhor! F=924.0000 (f1=924.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 8: Novo melhor! F=922.0000 (f1=922.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.71)] Iter 21: Novo melhor! F=921.0000 (f1=921.00, f2=8.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Iter 36: Novo melhor! F=920.0000 (f1=920.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.71)] Iter 38: Novo melhor! F=913.0000 (f1=913.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Iter 40: Novo melhor! F=910.0000 (f1=910.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 101: Novo melhor! F=906.0000 (f1=906.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.71)] Iter 129: Novo melhor! F=904.0000 (f1=904.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Iter 149: Novo melhor! F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.71)] Fim. Melhor F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00)

[GVNS-Pe(eps=12.14)] Solução inicial: F=1187112.4286 (f1=941.00, f2=58.00, P_cap=727600.00)
[GVNS-Pe(eps=12.14)] Iter 0: Novo melhor! F=984.0000 (f1=984.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=12.14)] Iter 0: Novo melhor! F=969.0000 (f1=969.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=12.14)] Iter 0: Novo melhor! F=957.0000 (f1=957.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=12.14)] Iter 1: Novo melhor! F=905.0000 (f1=905.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=12.14)] Iter 7: Novo melhor! F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=12.14)] Iter 47: Novo melhor! F=901.0000 (f1=901.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=12.14)] Iter 71: Novo melhor! F=899.0000 (f1=899.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=12.14)] Fim. Melhor F=899.0000 (f1=899.00, f2=12.00, P_cap=0.00)

[GVNS-Pe(eps=14.57)] Solução inicial: F=832831.7143 (f1=946.00, f2=45.00, P_cap=527600.00)
[GVNS-Pe(eps=14.57)] Iter 0: Novo melhor! F=917.0000 (f1=917.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=14.57)] Iter 10: Novo melhor! F=915.0000 (f1=915.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=14.57)] Iter 10: Novo melhor! F=905.0000 (f1=905.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=14.57)] Iter 43: Novo melhor! F=902.0000 (f1=902.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=14.57)] Iter 45: Novo melhor! F=899.0000 (f1=899.00, f2=13.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=14.57)] Iter 141: Novo melhor! F=895.0000 (f1=895.00, f2=14.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=14.57)] Fim. Melhor F=895.0000 (f1=895.00, f2=14.00, P_cap=0.00)

[GVNS-Pe(eps=17.00)] Solução inicial: F=1179333.0000 (f1=933.00, f2=48.00, P_cap=868400.00)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=942.0000 (f1=942.00, f2=16.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=932.0000 (f1=932.00, f2=14.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=928.0000 (f1=928.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=923.0000 (f1=923.00, f2=17.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=914.0000 (f1=914.00, f2=16.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 2: Novo melhor! F=913.0000 (f1=913.00, f2=16.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 18: Novo melhor! F=900.0000 (f1=900.00, f2=17.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=17.00)] Iter 80: Novo melhor! F=888.0000 (f1=888.00, f2=17.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=17.00)] Fim. Melhor F=888.0000 (f1=888.00, f2=17.00, P_cap=0.00)

===== [Pε] Execução 3 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1208493.0000 (f1=893.00, f2=47.00, P_cap=737600.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=57137.0000 (f1=1137.00, f2=4.00, P_cap=16000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=7202.0000 (f1=1202.00, f2=0.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 2: Novo melhor! F=7186.0000 (f1=1186.00, f2=0.00, P_cap=6000.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 3: Novo melhor! F=1245.0000 (f1=1245.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 4: Novo melhor! F=1228.0000 (f1=1228.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 6: Novo melhor! F=1197.0000 (f1=1197.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 9: Novo melhor! F=1159.0000 (f1=1159.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 10: Novo melhor! F=1135.0000 (f1=1135.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 42: Novo melhor! F=1116.0000 (f1=1116.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 101: Novo melhor! F=1072.0000 (f1=1072.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1072.0000 (f1=1072.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=2.43)] Solução inicial: F=1005026.2857 (f1=912.00, f2=16.00, P_cap=868400.00)
[GVNS-Pe(eps=2.43)] Iter 0: Novo melhor! F=1161.0000 (f1=1161.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 0: Novo melhor! F=1114.0000 (f1=1114.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 2: Novo melhor! F=1082.0000 (f1=1082.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 6: Novo melhor! F=1067.0000 (f1=1067.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 9: Novo melhor! F=1050.0000 (f1=1050.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 10: Novo melhor! F=1029.0000 (f1=1029.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Iter 11: Novo melhor! F=1017.0000 (f1=1017.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 19: Novo melhor! F=983.0000 (f1=983.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 48: Novo melhor! F=982.0000 (f1=982.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Iter 98: Novo melhor! F=978.0000 (f1=978.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 185: Novo melhor! F=971.0000 (f1=971.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 249: Novo melhor! F=951.0000 (f1=951.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Fim. Melhor F=951.0000 (f1=951.00, f2=2.00, P_cap=0.00)

[GVNS-Pe(eps=4.86)] Solução inicial: F=1008743.5714 (f1=915.00, f2=50.00, P_cap=556400.00)
[GVNS-Pe(eps=4.86)] Iter 0: Novo melhor! F=1254.0000 (f1=1254.00, f2=4.00, P_cap=0.00) (k=1)
