[GVNS-Pw(w1=0.40,w2=0.60)] Iter 0: Novo melhor! F=0.1530 (f1=1070.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.40,w2=0.60)] Iter 28: Novo melhor! F=0.1436 (f1=1059.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.40,w2=0.60)] Fim. Melhor F=0.1436 (f1=1059.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.50,w2=0.50)] Solução inicial: F=19600.8526 (f1=961.00, f2=28.00, P_cap=19600.00)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 0: Novo melhor! F=0.3088 (f1=1128.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 0: Novo melhor! F=0.2917 (f1=1112.00, f2=2.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 0: Novo melhor! F=0.2425 (f1=1040.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 0: Novo melhor! F=0.2222 (f1=1047.00, f2=2.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 0: Novo melhor! F=0.2158 (f1=1067.00, f2=1.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 1: Novo melhor! F=0.1966 (f1=1023.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 4: Novo melhor! F=0.1752 (f1=1055.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 37: Novo melhor! F=0.1709 (f1=999.00, f2=2.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 38: Novo melhor! F=0.1549 (f1=1036.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.50,w2=0.50)] Iter 38: Novo melhor! F=0.1378 (f1=1020.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.50,w2=0.50)] Fim. Melhor F=0.1378 (f1=1020.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.60,w2=0.40)] Solução inicial: F=242000.8526 (f1=932.00, f2=36.00, P_cap=242000.00)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 0: Novo melhor! F=0.2624 (f1=1061.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 0: Novo melhor! F=0.2389 (f1=1060.00, f2=1.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 2: Novo melhor! F=0.2312 (f1=1054.00, f2=1.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 3: Novo melhor! F=0.2145 (f1=1041.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 5: Novo melhor! F=0.1799 (f1=1014.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 7: Novo melhor! F=0.1620 (f1=1000.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 17: Novo melhor! F=0.1568 (f1=996.00, f2=1.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 25: Novo melhor! F=0.1248 (f1=971.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 65: Novo melhor! F=0.1132 (f1=962.00, f2=1.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 94: Novo melhor! F=0.1090 (f1=976.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 122: Novo melhor! F=0.0940 (f1=947.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 151: Novo melhor! F=0.0859 (f1=958.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.60,w2=0.40)] Fim. Melhor F=0.0859 (f1=958.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.70,w2=0.30)] Solução inicial: F=166000.6934 (f1=920.00, f2=39.00, P_cap=166000.00)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.3079 (f1=1030.00, f2=6.00, P_cap=0.00) (k=1)
