===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=13.22)] Solução inicial: F=600353.7778 (f1=976.00, f2=32.00, P_cap=411600.00)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=1032.0000 (f1=1032.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=996.0000 (f1=996.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=978.0000 (f1=978.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=968.0000 (f1=968.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=920.0000 (f1=920.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=906.0000 (f1=906.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 3: Novo melhor! F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Fim. Melhor F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00)

[GVNS-Pe(eps=15.11)] Solução inicial: F=1163438.8889 (f1=950.00, f2=55.00, P_cap=763600.00)
[GVNS-Pe(eps=15.11)] Iter 0: Novo melhor! F=952.0000 (f1=952.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 1: Novo melhor! F=942.0000 (f1=942.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 1: Novo melhor! F=940.0000 (f1=940.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 3: Novo melhor! F=920.0000 (f1=920.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 3: Novo melhor! F=915.0000 (f1=915.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Iter 3: Novo melhor! F=913.0000 (f1=913.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 3: Novo melhor! F=912.0000 (f1=912.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=15.11)] Iter 3: Novo melhor! F=895.0000 (f1=895.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Fim. Melhor F=895.0000 (f1=895.00, f2=14.00, P_cap=0.00)

[GVNS-Pe(eps=17.00)] Solução inicial: F=1073294.0000 (f1=894.00, f2=51.00, P_cap=732400.00)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=937.0000 (f1=937.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=928.0000 (f1=928.00, f2=17.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=919.0000 (f1=919.00, f2=17.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 1: Novo melhor! F=906.0000 (f1=906.00, f2=15.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=17.00)] Iter 1: Novo melhor! F=902.0000 (f1=902.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 13: Novo melhor! F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 15: Novo melhor! F=899.0000 (f1=899.00, f2=17.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=17.00)] Iter 16: Novo melhor! F=898.0000 (f1=898.00, f2=17.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Fim. Melhor F=898.0000 (f1=898.00, f2=17.00, P_cap=0.00)

===== [Pε] Execução 2 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1198565.0000 (f1=965.00, f2=58.00, P_cap=617600.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17231.0000 (f1=1231.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17230.0000 (f1=1230.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=11230.0000 (f1=1230.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=11204.0000 (f1=1204.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 2: Novo melhor! F=1294.0000 (f1=1294.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 3: Novo melhor! F=1250.0000 (f1=1250.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 4: Novo melhor! F=1197.0000 (f1=1197.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1197.0000 (f1=1197.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=1.89)] Solução inicial: F=1339652.1111 (f1=941.00, f2=53.00, P_cap=827600.00)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=8298.1111 (f1=1187.00, f2=2.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=2378.1111 (f1=1267.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=1287.0000 (f1=1287.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=1194.0000 (f1=1194.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 2: Novo melhor! F=1183.0000 (f1=1183.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 2: Novo melhor! F=1167.0000 (f1=1167.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1141.0000 (f1=1141.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1110.0000 (f1=1110.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1085.0000 (f1=1085.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=1.89)] Iter 7: Novo melhor! F=1083.0000 (f1=1083.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 17: Novo melhor! F=1079.0000 (f1=1079.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 35: Novo melhor! F=1036.0000 (f1=1036.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 53: Novo melhor! F=1018.0000 (f1=1018.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Fim. Melhor F=1018.0000 (f1=1018.00, f2=1.00, P_cap=0.00)

