run,alt,f1,f2,pen_cap,epsilon,solucao
3,2,1089.0,1.0,0.0,1.8888888888888888,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1"
3,3,966.0,2.0,0.0,3.7777777777777777,"0,1,1,3,2,2,1,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,2,4,2,3,3,3,0,4,3,0,4,1,0,0,4,2,0,3,4,4,2,0,0,2,3"
3,4,960.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1"
3,5,931.0,6.0,0.0,7.555555555555555,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,3,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,0"
3,6,903.0,7.0,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3"
3,7,901.0,10.0,0.0,13.222222222222221,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3"
3,8,898.0,15.0,0.0,15.11111111111111,"0,1,0,3,2,0,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,1,4,0,3,4,4,2,4,0,2,3"
3,9,897.0,16.0,0.0,17.0,"0,2,0,3,2,0,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,4,2,1,0,1,4,4,2,4,0,2,3"
4,1,1105.0,0.0,0.0,0.0,"0,1,3,3,2,2,0,4,2,0,1,4,2,4,4,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,3,4,3,0,4,0,1,3,2,0,4,0,4,4,2,4,1,3,1"
4,2,1092.0,1.0,0.0,1.8888888888888888,"4,1,0,3,2,2,0,4,2,0,1,3,2,4,4,2,4,4,0,2,1,4,3,1,2,1,4,0,3,3,3,3,0,1,1,4,0,0,1,4,3,0,1,3,4,2,2,0,3,3"
4,3,995.0,3.0,0.0,3.7777777777777777,"0,1,4,3,2,0,2,4,3,2,1,4,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,3,3,3,0,4,1,0,4,2,1,1,2,4,0,3,4,4,2,4,0,2,3"
4,4,940.0,5.0,0.0,5.666666666666666,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,0,2,4,2,3,3,3,0,4,3,2,4,1,0,3,4,2,0,1,4,4,2,3,0,2,1"
4,5,922.0,7.0,0.0,7.555555555555555,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,3,4,4,2,4,0,2,3"
4,6,902.0,8.0,0.0,11.333333333333332,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,1,0,1,4,4,2,4,0,2,3"
4,7,895.0,14.0,0.0,15.11111111111111,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3"
5,1,1132.0,0.0,0.0,0.0,"1,1,0,3,2,3,0,4,2,2,1,4,2,3,4,0,4,4,1,2,1,4,3,3,0,2,0,1,3,3,3,2,4,3,0,4,0,0,1,4,3,2,1,3,4,0,4,2,2,3"
5,2,1046.0,1.0,0.0,1.8888888888888888,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1"
5,3,985.0,3.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,4,2,3,3,0,0,4,1,2,1,4,0,3,4,2,4,2,3,3,3,3,4,1,0,4,1,0,1,2,0,0,3,4,4,2,4,0,2,1"
5,4,923.0,5.0,0.0,7.555555555555555,"0,1,0,3,2,2,0,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,4,3,1,0,0,1,4,4,2,4,0,2,3"
5,5,902.0,8.0,0.0,13.222222222222221,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3"
5,6,900.0,12.0,0.0,15.11111111111111,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3"
5,7,896.0,16.0,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3"
