run,alt,f1,f2,pen_cap,epsilon,solucao,f3_robustez,f4_risco
4,1,1105.0,0.0,0.0,0.0,"0,1,3,3,2,2,0,4,2,0,1,4,2,4,4,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,3,4,3,0,4,0,1,3,2,0,4,0,4,4,2,4,1,3,1",0.10323315507145496,0.0035339986239599185
4,2,1092.0,1.0,0.0,1.8888888888888888,"4,1,0,3,2,2,0,4,2,0,1,3,2,4,4,2,4,4,0,2,1,4,3,1,2,1,4,0,3,3,3,3,0,1,1,4,0,0,1,4,3,0,1,3,4,2,2,0,3,3",0.08961385956385372,0.006050516559517263
4,3,995.0,3.0,0.0,3.7777777777777777,"0,1,4,3,2,0,2,4,3,2,1,4,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,3,3,3,0,4,1,0,4,2,1,1,2,4,0,3,4,4,2,4,0,2,3",0.09320891839857867,0.005123441314275714
4,4,940.0,5.0,0.0,5.666666666666666,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,0,2,4,2,3,3,3,0,4,3,2,4,1,0,3,4,2,0,1,4,4,2,3,0,2,1",0.07997851024697564,0.0023526092992085775
4,5,922.0,7.0,0.0,7.555555555555555,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,3,4,4,2,4,0,2,3",0.06140377395430742,0.008301740086506738
4,6,902.0,8.0,0.0,11.333333333333332,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,1,0,1,4,4,2,4,0,2,3",0.07110794200761046,0.005927642139248583
4,7,895.0,14.0,0.0,15.11111111111111,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.04255572582840665,0.00728743247492808
5,1,1132.0,0.0,0.0,0.0,"1,1,0,3,2,3,0,4,2,2,1,4,2,3,4,0,4,4,1,2,1,4,3,3,0,2,0,1,3,3,3,2,4,3,0,4,0,0,1,4,3,2,1,3,4,0,4,2,2,3",0.09469251845308785,0.006753488892185908
5,2,1046.0,1.0,0.0,1.8888888888888888,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",0.10165884776666907,0.002624155714567791
5,3,985.0,3.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,4,2,3,3,0,0,4,1,2,1,4,0,3,4,2,4,2,3,3,3,3,4,1,0,4,1,0,1,2,0,0,3,4,4,2,4,0,2,1",0.09160083456368762,0.00254045271795181
