===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=11.33)] Iter 2: Novo melhor! F=931.0000 (f1=931.00, f2=10.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 7: Novo melhor! F=923.0000 (f1=923.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 9: Novo melhor! F=909.0000 (f1=909.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 11: Novo melhor! F=908.0000 (f1=908.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 11: Novo melhor! F=907.0000 (f1=907.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Fim. Melhor F=907.0000 (f1=907.00, f2=10.00, P_cap=0.00)

[GVNS-Pe(eps=13.22)] Solução inicial: F=465106.7778 (f1=929.00, f2=30.00, P_cap=296400.00)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=1046.0000 (f1=1046.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=1021.0000 (f1=1021.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=927.0000 (f1=927.00, f2=10.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 1: Novo melhor! F=917.0000 (f1=917.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 6: Novo melhor! F=903.0000 (f1=903.00, f2=13.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=13.22)] Iter 14: Novo melhor! F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=13.22)] Fim. Melhor F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00)

[GVNS-Pe(eps=15.11)] Solução inicial: F=1082234.8889 (f1=946.00, f2=41.00, P_cap=822400.00)
[GVNS-Pe(eps=15.11)] Iter 0: Novo melhor! F=930.0000 (f1=930.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 1: Novo melhor! F=922.0000 (f1=922.00, f2=15.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 3: Novo melhor! F=917.0000 (f1=917.00, f2=12.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Iter 14: Novo melhor! F=914.0000 (f1=914.00, f2=15.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Iter 15: Novo melhor! F=913.0000 (f1=913.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=15.11)] Iter 16: Novo melhor! F=901.0000 (f1=901.00, f2=11.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Iter 41: Novo melhor! F=900.0000 (f1=900.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Fim. Melhor F=900.0000 (f1=900.00, f2=14.00, P_cap=0.00)

[GVNS-Pe(eps=17.00)] Solução inicial: F=573761.0000 (f1=961.00, f2=31.00, P_cap=432800.00)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=951.0000 (f1=951.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=949.0000 (f1=949.00, f2=16.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=936.0000 (f1=936.00, f2=16.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=917.0000 (f1=917.00, f2=10.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=916.0000 (f1=916.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 8: Novo melhor! F=896.0000 (f1=896.00, f2=16.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Fim. Melhor F=896.0000 (f1=896.00, f2=16.00, P_cap=0.00)

===== [Pε] Execução 2 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1143323.0000 (f1=923.00, f2=44.00, P_cap=702400.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=57141.0000 (f1=1141.00, f2=1.00, P_cap=46000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17273.0000 (f1=1273.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=11065.0000 (f1=1065.00, f2=1.00, P_cap=0.00) (k=1)
